iter	Passed	Remaining
0	11	2313
1	20	2052
2	31	2051
3	52	2554
4	64	2496
5	74	2418
6	85	2363
7	96	2321
8	106	2249
9	115	2187
10	124	2140
11	134	2103
12	143	2070
13	153	2035
14	163	2013
15	172	1978
16	182	1960
17	194	1965
18	208	1987
19	223	2008
20	235	2008
21	246	1991
22	256	1974
23	266	1955
24	276	1935
25	286	1919
26	296	1902
27	307	1888
28	317	1871
29	326	1851
30	336	1833
31	346	1818
32	356	1804
33	367	1794
34	377	1781
35	389	1773
36	399	1761
37	409	1747
38	426	1759
39	437	1748
40	447	1734
41	458	1725
42	470	1716
43	481	1706
44	491	1693
45	503	1684
46	514	1674
47	524	1662
48	535	1650
49	546	1640
50	556	1626
51	565	1610
52	576	1598
53	586	1584
54	597	1574
55	606	1560
56	617	1548
57	628	1538
58	638	1524
59	649	1514
60	659	1502
61	671	1494
62	683	1485
63	694	1475
64	703	1461
65	714	1450
66	726	1442
67	743	1443
68	753	1430
69	763	1417
70	772	1403
71	782	1390
72	791	1377
73	801	1364
74	810	1351
75	820	1339
76	829	1325
77	839	1313
78	849	1300
79	859	1289
80	868	1276
81	879	1265
82	889	1254
83	900	1242
84	909	1230
85	918	1217
86	928	1206
87	939	1195
88	948	1183
89	959	1172
90	969	1161
91	979	1150
92	991	1140
93	1003	1131
94	1014	1121
95	1025	1111
96	1036	1100
97	1045	1088
98	1056	1077
99	1066	1066
100	1077	1055
101	1087	1044
102	1097	1033
103	1106	1021
104	1116	1010
105	1125	998
106	1135	986
107	1144	974
108	1153	963
109	1163	951
110	1173	940
111	1187	932
112	1202	925
113	1218	919
114	1233	911
115	1245	901
116	1255	890
117	1266	880
118	1278	870
119	1289	859
120	1302	850
121	1321	845
122	1343	840
123	1356	831
124	1368	821
125	1380	810
126	1392	800
127	1409	792
128	1427	785
129	1450	781
130	1467	773
131	1485	765
132	1506	758
133	1531	754
134	1543	743
135	1554	731
136	1565	719
137	1576	708
138	1588	697
139	1597	684
140	1608	672
141	1620	662
142	1630	649
143	1642	638
144	1651	626
145	1660	614
146	1670	602
147	1679	589
148	1688	578
149	1697	565
150	1707	554
151	1719	543
152	1730	531
153	1749	522
154	1764	512
155	1776	500
156	1788	489
157	1801	478
158	1813	467
159	1836	459
160	1852	448
161	1869	438
162	1889	428
163	1905	418
164	1918	407
165	1934	396
166	1947	384
167	1961	373
168	1977	362
169	1993	351
170	2006	340
171	2019	328
172	2031	317
173	2044	305
174	2056	293
175	2068	282
176	2080	270
177	2092	258
178	2105	247
179	2126	236
180	2138	224
181	2149	212
182	2162	200
183	2175	189
184	2187	177
185	2197	165
186	2209	153
187	2220	141
188	2232	129
189	2244	118
190	2257	106
191	2272	94
192	2287	82
193	2299	71
194	2327	59
195	2340	47
196	2353	35
197	2367	23
198	2380	11
199	2395	0
