iter	Passed	Remaining
0	9	9228
1	19	9588
2	31	10455
3	57	14222
4	69	13776
5	83	13809
6	96	13647
7	108	13420
8	120	13226
9	131	13049
10	141	12716
11	154	12682
12	166	12608
13	178	12554
14	189	12474
15	202	12468
16	222	12848
17	239	13062
18	253	13065
19	265	13012
20	281	13121
21	296	13164
22	309	13147
23	322	13114
24	335	13068
25	347	13007
26	360	12983
27	372	12928
28	385	12896
29	397	12849
30	410	12828
31	422	12777
32	434	12725
33	445	12664
34	457	12622
35	470	12610
36	483	12577
37	495	12546
38	508	12518
39	520	12485
40	536	12538
41	563	12851
42	579	12887
43	592	12872
44	605	12848
45	616	12792
46	629	12756
47	640	12699
48	652	12655
49	660	12554
50	673	12530
51	685	12496
52	696	12449
53	706	12371
54	717	12323
55	727	12269
56	740	12242
57	752	12214
58	762	12165
59	772	12101
60	783	12066
61	796	12046
62	808	12030
63	828	12113
64	841	12108
65	855	12108
66	870	12126
67	885	12136
68	898	12127
69	912	12120
70	926	12119
71	939	12111
72	952	12096
73	966	12088
74	977	12058
75	990	12040
76	1003	12024
77	1013	11979
78	1024	11945
79	1036	11916
80	1048	11900
81	1059	11859
82	1069	11820
83	1078	11765
84	1088	11717
85	1099	11687
86	1110	11657
87	1119	11604
88	1129	11558
89	1139	11523
90	1150	11496
91	1162	11473
92	1173	11447
93	1214	11709
94	1239	11807
95	1276	12025
96	1297	12080
97	1315	12110
98	1328	12094
99	1342	12078
100	1358	12087
101	1369	12060
102	1381	12035
103	1395	12022
104	1409	12011
105	1421	11991
106	1434	11975
107	1447	11952
108	1459	11930
109	1472	11910
110	1484	11889
111	1496	11866
112	1508	11842
113	1520	11820
114	1532	11790
115	1543	11766
116	1557	11750
117	1570	11735
118	1582	11716
119	1594	11695
120	1607	11677
121	1620	11661
122	1632	11639
123	1645	11621
124	1657	11600
125	1671	11593
126	1683	11574
127	1696	11554
128	1708	11535
129	1721	11517
130	1734	11505
131	1747	11492
132	1760	11479
133	1773	11463
134	1787	11453
135	1801	11442
136	1814	11428
137	1826	11410
138	1839	11396
139	1850	11369
140	1863	11350
141	1875	11330
142	1887	11311
143	1899	11293
144	1911	11271
145	1923	11250
146	1934	11227
147	1947	11210
148	1959	11190
149	1971	11172
150	1999	11242
151	2015	11247
152	2028	11228
153	2039	11202
154	2051	11185
155	2065	11174
156	2079	11167
157	2092	11153
158	2107	11145
159	2119	11128
160	2132	11113
161	2145	11097
162	2158	11085
163	2172	11075
164	2185	11059
165	2196	11036
166	2210	11025
167	2222	11004
168	2234	10987
169	2244	10958
170	2253	10927
171	2266	10908
172	2277	10887
173	2289	10868
174	2298	10835
175	2310	10818
176	2322	10796
177	2330	10760
178	2340	10732
179	2349	10703
180	2358	10674
181	2368	10646
182	2377	10612
183	2388	10594
184	2401	10577
185	2412	10559
186	2423	10536
187	2433	10509
188	2443	10483
189	2454	10465
190	2466	10447
191	2480	10436
192	2492	10423
193	2506	10411
194	2519	10400
195	2532	10389
196	2545	10375
197	2558	10364
198	2572	10355
199	2586	10347
200	2600	10337
201	2614	10328
202	2628	10319
203	2641	10306
204	2653	10289
205	2664	10271
206	2677	10255
207	2687	10232
208	2698	10213
209	2708	10190
210	2720	10172
211	2731	10154
212	2743	10136
213	2755	10119
214	2767	10103
215	2779	10089
216	2792	10075
217	2804	10058
218	2817	10046
219	2829	10032
220	2842	10018
221	2856	10011
222	2870	10000
223	2884	9992
224	2899	9985
225	2912	9973
226	2924	9958
227	2937	9944
228	2949	9929
229	2960	9910
230	2972	9894
231	2984	9879
232	2997	9867
233	3010	9854
234	3022	9840
235	3035	9828
236	3049	9818
237	3062	9804
238	3075	9791
239	3087	9778
240	3100	9765
241	3113	9753
242	3127	9743
243	3140	9730
244	3152	9715
245	3165	9702
246	3177	9687
247	3189	9672
248	3201	9657
249	3214	9643
250	3226	9626
251	3235	9603
252	3247	9587
253	3259	9572
254	3271	9559
255	3285	9549
256	3301	9543
257	3315	9533
258	3329	9526
259	3349	9531
260	3363	9523
261	3381	9525
262	3409	9554
263	3424	9546
264	3442	9548
265	3486	9620
266	3506	9626
267	3522	9622
268	3535	9608
269	3549	9596
270	3568	9600
271	3593	9618
272	3606	9605
273	3621	9596
274	3637	9589
275	3651	9579
276	3664	9563
277	3677	9550
278	3689	9535
279	3700	9516
280	3710	9495
281	3722	9479
282	3733	9459
283	3744	9439
284	3755	9422
285	3768	9409
286	3781	9395
287	3795	9383
288	3809	9372
289	3822	9358
290	3835	9346
291	3849	9334
292	3866	9329
293	3879	9317
294	3893	9304
295	3907	9292
296	3921	9283
297	3934	9269
298	3950	9261
299	3965	9252
300	3977	9237
301	3990	9223
302	4002	9207
303	4015	9193
304	4028	9180
305	4040	9164
306	4053	9149
307	4066	9137
308	4078	9121
309	4090	9104
310	4102	9088
311	4117	9079
312	4131	9067
313	4150	9067
314	4166	9060
315	4182	9053
316	4195	9040
317	4210	9030
